pm10,so2,co,o3,no2,categori
57,20,6,68,14,SEDANG
63,20,6,60,11,SEDANG
58,18,8,65,13,SEDANG
68,18,7,70,22,SEDANG
55,16,6,69,12,SEDANG
57,16,7,59,14,SEDANG
60,22,5,68,11,SEDANG
46,18,8,64,9,SEDANG
37,15,6,82,11,SEDANG
54,20,7,78,12,SEDANG
62,19,6,65,11,SEDANG
42,16,5,70,10,SEDANG
52,19,6,66,11,SEDANG
53,22,6,69,12,SEDANG
50,17,9,71,14,SEDANG
53,18,8,75,16,SEDANG
42,17,5,70,11,SEDANG
52,20,5,68,13,SEDANG
46,20,5,83,11,SEDANG
44,18,6,74,11,SEDANG
61,21,9,75,11,SEDANG
63,18,8,63,20,SEDANG
60,20,7,70,17,SEDANG
56,19,7,76,20,SEDANG
57,18,11,71,15,SEDANG
41,18,8,77,20,SEDANG
40,16,9,77,15,SEDANG
56,13,29,62,15,SEDANG
52,20,16,16,30,SEDANG
50,23,19,19,28,SEDANG
53,24,15,14,30,SEDANG
52,22,15,18,27,SEDANG
52,23,10,20,33,SEDANG
52,20,12,19,28,SEDANG
52,24,16,18,31,SEDANG
52,29,9,21,27,SEDANG
66,19,28,133,18,TIDAK SEHAT
70,20,34,131,20,TIDAK SEHAT
73,23,33,138,29,TIDAK SEHAT
54,14,32,133,18,TIDAK SEHAT
69,31,38,146,36,TIDAK SEHAT
64,31,34,139,18,TIDAK SEHAT
65,30,31,128,23,TIDAK SEHAT
64,27,33,143,16,TIDAK SEHAT
75,40,27,153,15,TIDAK SEHAT
77,25,41,147,29,TIDAK SEHAT
71,29,34,132,25,TIDAK SEHAT
70,27,34,137,26,TIDAK SEHAT
66,37,28,139,20,TIDAK SEHAT
78,54,27,144,21,TIDAK SEHAT
55,29,32,130,21,TIDAK SEHAT
65,2,34,140,19,TIDAK SEHAT
63,5,37,145,20,TIDAK SEHAT
58,42,19,149,4,TIDAK SEHAT
54,13,20,134,9,TIDAK SEHAT
66,16,21,141,7,TIDAK SEHAT
56,16,23,141,6,TIDAK SEHAT
61,24,21,138,6,TIDAK SEHAT
63,20,21,137,7,TIDAK SEHAT
56,20,24,150,5,TIDAK SEHAT
61,15,28,198,8,TIDAK SEHAT
57,18,20,144,9,TIDAK SEHAT
75,26,38,142,27,TIDAK SEHAT
67,28,34,137,23,TIDAK SEHAT
59,30,33,134,19,TIDAK SEHAT
53,19,20,138,6,TIDAK SEHAT
66,29,34,138,21,TIDAK SEHAT
70,26,34,136,25,TIDAK SEHAT
69,30,37,145,35,TIDAK SEHAT
75,42,27,151,16,TIDAK SEHAT
67,19,20,128,11,TIDAK SEHAT
56,20,23,148,5,TIDAK SEHAT
57,20,23,147,5,TIDAK SEHAT
66,26,34,143,18,TIDAK SEHAT
56,19,24,156,5,TIDAK SEHAT
56,16,22,140,6,TIDAK SEHAT
52,26,19,138,5,TIDAK SEHAT
76,24,39,145,29,TIDAK SEHAT
58,23,30,129,26,TIDAK SEHAT
64,30,31,128,22,TIDAK SEHAT
55,16,22,140,6,TIDAK SEHAT
69,27,34,138,27,TIDAK SEHAT
73,53,40,139,13,TIDAK SEHAT
75,24,37,143,29,TIDAK SEHAT
67,17,19,133,8,TIDAK SEHAT
63,14,35,144,18,TIDAK SEHAT
64,25,32,141,16,TIDAK SEHAT
71,26,33,134,26,TIDAK SEHAT
72,39,27,148,16,TIDAK SEHAT
67,34,29,138,21,TIDAK SEHAT
64,28,32,142,16,TIDAK SEHAT
68,41,27,140,20,TIDAK SEHAT
70,20,33,131,20,TIDAK SEHAT
64,19,19,133,7,TIDAK SEHAT
61,20,21,139,6,TIDAK SEHAT
64,3,35,142,19,TIDAK SEHAT
56,20,23,149,5,TIDAK SEHAT
60,25,19,134,10,TIDAK SEHAT
56,19,23,149,5,TIDAK SEHAT
65,16,21,141,6,TIDAK SEHAT
56,21,23,149,4,TIDAK SEHAT
61,22,21,137,6,TIDAK SEHAT
70,28,36,143,34,TIDAK SEHAT
65,34,29,140,18,TIDAK SEHAT
69,30,38,146,35,TIDAK SEHAT
61,19,21,137,6,TIDAK SEHAT
56,25,32,124,23,TIDAK SEHAT
64,19,20,134,7,TIDAK SEHAT
70,27,34,135,25,TIDAK SEHAT
59,31,20,142,5,TIDAK SEHAT
57,20,23,147,5,TIDAK SEHAT
72,23,33,138,29,TIDAK SEHAT
65,18,28,133,18,TIDAK SEHAT
69,19,33,130,20,TIDAK SEHAT
64,31,34,139,19,TIDAK SEHAT
63,19,21,137,7,TIDAK SEHAT
64,30,31,129,22,TIDAK SEHAT
72,36,28,150,15,TIDAK SEHAT
63,31,33,126,22,TIDAK SEHAT
64,29,33,140,17,TIDAK SEHAT
65,16,20,141,7,TIDAK SEHAT
72,25,33,135,27,TIDAK SEHAT
70,50,44,137,11,TIDAK SEHAT
76,47,27,148,18,TIDAK SEHAT
62,19,29,129,28,TIDAK SEHAT
56,16,23,141,5,TIDAK SEHAT
58,36,19,145,4,TIDAK SEHAT
67,18,18,130,8,TIDAK SEHAT
53,13,19,134,8,TIDAK SEHAT
72,48,40,142,11,TIDAK SEHAT
63,21,19,133,7,TIDAK SEHAT
68,19,32,131,19,TIDAK SEHAT
57,18,20,143,8,TIDAK SEHAT
57,17,20,144,8,TIDAK SEHAT
55,16,22,140,6,TIDAK SEHAT
55,12,32,134,18,TIDAK SEHAT
59,22,20,139,6,TIDAK SEHAT
65,16,21,140,7,TIDAK SEHAT
64,18,28,133,18,TIDAK SEHAT
51,14,29,132,16,TIDAK SEHAT
72,27,36,136,26,TIDAK SEHAT
54,13,20,134,8,TIDAK SEHAT
60,15,27,197,7,TIDAK SEHAT
63,21,33,143,16,TIDAK SEHAT
72,28,35,135,25,TIDAK SEHAT
53,19,20,138,6,TIDAK SEHAT
66,31,36,143,28,TIDAK SEHAT
72,22,33,137,28,TIDAK SEHAT
51,21,19,135,6,TIDAK SEHAT
64,19,21,139,6,TIDAK SEHAT
60,19,20,139,7,TIDAK SEHAT
67,40,23,151,10,TIDAK SEHAT
65,21,29,136,17,TIDAK SEHAT
54,15,28,128,16,TIDAK SEHAT
74,47,28,142,20,TIDAK SEHAT
65,30,34,138,19,TIDAK SEHAT
56,16,22,141,6,TIDAK SEHAT
58,17,20,143,8,TIDAK SEHAT
70,26,34,136,25,TIDAK SEHAT
72,23,33,137,28,TIDAK SEHAT
63,4,36,144,19,TIDAK SEHAT
52,13,32,129,19,TIDAK SEHAT
64,28,30,128,23,TIDAK SEHAT
59,23,20,137,6,TIDAK SEHAT
65,29,30,128,22,TIDAK SEHAT
54,15,27,127,15,TIDAK SEHAT
71,25,34,140,30,TIDAK SEHAT
65,30,34,137,19,TIDAK SEHAT
65,32,30,140,18,TIDAK SEHAT
65,29,31,128,23,TIDAK SEHAT
54,14,31,133,18,TIDAK SEHAT
74,42,31,149,13,TIDAK SEHAT
66,32,32,141,17,TIDAK SEHAT
76,25,40,146,28,TIDAK SEHAT
59,16,30,133,18,TIDAK SEHAT
56,18,23,147,5,TIDAK SEHAT
60,7,33,137,18,TIDAK SEHAT
77,53,28,143,20,TIDAK SEHAT
67,33,30,138,22,TIDAK SEHAT
60,29,20,141,5,TIDAK SEHAT
64,28,33,141,16,TIDAK SEHAT
56,30,33,128,21,TIDAK SEHAT
64,32,32,139,18,TIDAK SEHAT
62,31,33,125,22,TIDAK SEHAT
55,23,19,136,6,TIDAK SEHAT
65,22,28,131,19,TIDAK SEHAT
69,30,36,142,33,TIDAK SEHAT
69,27,33,136,25,TIDAK SEHAT
64,30,31,127,22,TIDAK SEHAT
65,33,29,140,18,TIDAK SEHAT
63,4,36,143,19,TIDAK SEHAT
72,28,35,135,25,TIDAK SEHAT
66,19,25,131,16,TIDAK SEHAT
68,21,33,133,19,TIDAK SEHAT
71,25,33,137,27,TIDAK SEHAT
63,19,21,137,7,TIDAK SEHAT
69,29,33,131,24,TIDAK SEHAT
53,15,19,134,8,TIDAK SEHAT
59,18,20,141,8,TIDAK SEHAT
72,39,27,149,16,TIDAK SEHAT
65,19,31,130,24,TIDAK SEHAT
66,28,32,131,24,TIDAK SEHAT
61,22,21,137,6,TIDAK SEHAT
61,10,32,173,13,TIDAK SEHAT
70,29,33,131,24,TIDAK SEHAT
62,19,21,137,6,TIDAK SEHAT
66,31,36,143,28,TIDAK SEHAT
73,47,27,142,20,TIDAK SEHAT
61,13,29,187,10,TIDAK SEHAT
76,45,27,149,17,TIDAK SEHAT
58,17,26,174,6,TIDAK SEHAT
72,22,33,137,28,TIDAK SEHAT
61,19,29,128,29,TIDAK SEHAT
65,32,30,140,18,TIDAK SEHAT
65,19,28,132,19,TIDAK SEHAT
57,31,34,126,21,TIDAK SEHAT
56,19,23,148,5,TIDAK SEHAT
66,37,27,140,19,TIDAK SEHAT
62,22,20,135,6,TIDAK SEHAT
51,14,20,133,10,TIDAK SEHAT
64,32,32,139,18,TIDAK SEHAT
72,23,33,137,28,TIDAK SEHAT
63,29,31,128,22,TIDAK SEHAT
56,29,31,129,21,TIDAK SEHAT
75,45,29,140,22,TIDAK SEHAT
67,24,32,129,21,TIDAK SEHAT
65,17,21,139,7,TIDAK SEHAT
63,15,20,139,7,TIDAK SEHAT
64,24,31,139,16,TIDAK SEHAT
70,24,34,135,24,TIDAK SEHAT
64,30,31,130,22,TIDAK SEHAT
68,29,32,130,24,TIDAK SEHAT
69,27,34,137,25,TIDAK SEHAT
67,34,29,138,21,TIDAK SEHAT
62,17,29,133,18,TIDAK SEHAT
64,3,35,141,19,TIDAK SEHAT
69,27,34,139,28,TIDAK SEHAT
74,53,38,140,14,TIDAK SEHAT
73,23,33,138,29,TIDAK SEHAT
71,25,34,140,30,TIDAK SEHAT
70,28,36,143,33,TIDAK SEHAT
70,27,36,142,33,TIDAK SEHAT
64,23,30,138,16,TIDAK SEHAT
54,15,27,127,15,TIDAK SEHAT
72,23,33,137,28,TIDAK SEHAT
69,30,37,144,34,TIDAK SEHAT
64,29,33,140,17,TIDAK SEHAT
57,19,20,142,8,TIDAK SEHAT
64,19,28,131,22,TIDAK SEHAT
65,19,19,131,8,TIDAK SEHAT
70,27,34,134,25,TIDAK SEHAT
65,35,29,139,19,TIDAK SEHAT
74,42,31,149,13,TIDAK SEHAT
70,25,37,145,22,TIDAK SEHAT
56,20,23,149,5,TIDAK SEHAT
61,22,21,138,6,TIDAK SEHAT
64,41,22,150,8,TIDAK SEHAT
71,28,39,146,33,TIDAK SEHAT
77,53,29,143,19,TIDAK SEHAT
68,26,35,144,20,TIDAK SEHAT
58,17,22,139,6,TIDAK SEHAT
70,22,34,133,22,TIDAK SEHAT
56,16,22,140,6,TIDAK SEHAT
68,27,33,138,23,TIDAK SEHAT
76,53,31,142,18,TIDAK SEHAT
64,27,32,142,16,TIDAK SEHAT
57,29,32,132,20,TIDAK SEHAT
69,19,33,131,19,TIDAK SEHAT
76,48,27,147,18,TIDAK SEHAT
64,30,31,127,22,TIDAK SEHAT
60,15,27,194,7,TIDAK SEHAT
56,18,20,145,8,TIDAK SEHAT
65,19,19,131,8,TIDAK SEHAT
76,47,27,148,18,TIDAK SEHAT
67,34,29,137,21,TIDAK SEHAT
65,32,30,140,18,TIDAK SEHAT
56,25,22,149,4,TIDAK SEHAT
68,29,32,130,24,TIDAK SEHAT
67,19,32,130,22,TIDAK SEHAT
64,2,34,140,19,TIDAK SEHAT
72,22,33,136,26,TIDAK SEHAT
54,17,22,139,6,TIDAK SEHAT
53,13,20,133,8,TIDAK SEHAT
77,52,27,143,21,TIDAK SEHAT
56,25,32,125,23,TIDAK SEHAT
64,32,32,139,18,TIDAK SEHAT
65,29,31,128,23,TIDAK SEHAT
65,18,28,131,18,TIDAK SEHAT
67,41,40,138,13,TIDAK SEHAT
67,35,29,137,21,TIDAK SEHAT
59,22,21,138,6,TIDAK SEHAT
70,26,34,137,26,TIDAK SEHAT
60,20,26,187,7,TIDAK SEHAT
70,29,34,133,25,TIDAK SEHAT
65,29,31,129,23,TIDAK SEHAT
58,23,30,129,25,TIDAK SEHAT
61,19,20,138,7,TIDAK SEHAT
70,29,34,132,24,TIDAK SEHAT
58,19,22,139,6,TIDAK SEHAT
69,29,37,144,34,TIDAK SEHAT
56,19,22,148,6,TIDAK SEHAT
66,19,29,132,18,TIDAK SEHAT
64,19,28,131,21,TIDAK SEHAT
65,29,31,128,23,TIDAK SEHAT
68,40,23,151,10,TIDAK SEHAT
64,18,21,140,6,TIDAK SEHAT
59,30,20,142,5,TIDAK SEHAT
74,39,27,151,15,TIDAK SEHAT
57,33,20,149,4,TIDAK SEHAT
60,17,20,142,8,TIDAK SEHAT
65,22,28,131,19,TIDAK SEHAT
57,19,20,142,8,TIDAK SEHAT
60,23,21,138,6,TIDAK SEHAT
63,4,36,144,19,TIDAK SEHAT
74,41,28,151,14,TIDAK SEHAT
58,20,22,144,5,TIDAK SEHAT
56,23,20,137,6,TIDAK SEHAT
65,16,29,135,18,TIDAK SEHAT
66,19,28,132,18,TIDAK SEHAT
58,20,21,139,6,TIDAK SEHAT
62,21,20,135,8,TIDAK SEHAT
65,19,28,132,18,TIDAK SEHAT
67,29,32,129,23,TIDAK SEHAT
63,4,36,144,19,TIDAK SEHAT
70,29,35,136,28,TIDAK SEHAT
72,24,33,136,27,TIDAK SEHAT
68,19,33,130,21,TIDAK SEHAT
56,16,22,141,6,TIDAK SEHAT
64,16,21,141,6,TIDAK SEHAT
57,41,19,149,4,TIDAK SEHAT
59,29,32,134,19,TIDAK SEHAT
65,18,28,133,18,TIDAK SEHAT
70,22,34,131,21,TIDAK SEHAT
55,29,31,129,21,TIDAK SEHAT
73,23,34,139,29,TIDAK SEHAT
56,25,32,125,23,TIDAK SEHAT
54,23,19,136,6,TIDAK SEHAT
62,5,36,144,19,TIDAK SEHAT
60,29,31,128,22,TIDAK SEHAT
61,23,21,137,6,TIDAK SEHAT
56,18,23,146,5,TIDAK SEHAT
52,17,19,134,7,TIDAK SEHAT
75,26,38,142,27,TIDAK SEHAT
59,21,29,129,27,TIDAK SEHAT
68,14,34,133,19,TIDAK SEHAT
61,23,21,137,6,TIDAK SEHAT
60,25,20,139,5,TIDAK SEHAT
57,17,22,140,6,TIDAK SEHAT
69,30,38,146,35,TIDAK SEHAT
76,46,27,148,17,TIDAK SEHAT
57,19,20,142,8,TIDAK SEHAT
61,22,21,137,6,TIDAK SEHAT
54,13,32,134,18,TIDAK SEHAT
66,29,31,128,23,TIDAK SEHAT
65,16,20,141,7,TIDAK SEHAT
60,25,19,133,10,TIDAK SEHAT
70,23,34,133,22,TIDAK SEHAT
63,20,34,143,17,TIDAK SEHAT
67,19,30,132,18,TIDAK SEHAT
68,31,37,145,35,TIDAK SEHAT
54,13,32,133,18,TIDAK SEHAT
64,16,21,141,6,TIDAK SEHAT
61,21,19,134,9,TIDAK SEHAT
68,29,34,134,22,TIDAK SEHAT
56,14,31,130,18,TIDAK SEHAT
66,27,33,140,19,TIDAK SEHAT
65,28,32,144,15,TIDAK SEHAT
56,19,23,149,5,TIDAK SEHAT
70,20,33,132,21,TIDAK SEHAT
59,25,17,130,13,TIDAK SEHAT
70,28,34,132,25,TIDAK SEHAT
57,37,19,149,4,TIDAK SEHAT
73,27,39,146,32,TIDAK SEHAT
74,27,39,146,31,TIDAK SEHAT
52,13,32,129,19,TIDAK SEHAT
61,16,27,195,8,TIDAK SEHAT
69,29,27,171,12,TIDAK SEHAT
56,30,33,128,21,TIDAK SEHAT
56,17,23,144,5,TIDAK SEHAT
69,30,38,146,35,TIDAK SEHAT
66,29,34,138,21,TIDAK SEHAT
64,2,34,140,19,TIDAK SEHAT
55,28,32,129,21,TIDAK SEHAT
71,32,27,165,13,TIDAK SEHAT
63,17,34,143,17,TIDAK SEHAT
70,43,27,141,20,TIDAK SEHAT
65,34,30,139,19,TIDAK SEHAT
66,38,38,138,15,TIDAK SEHAT
57,36,20,149,4,TIDAK SEHAT
65,28,31,128,22,TIDAK SEHAT
59,18,22,146,5,TIDAK SEHAT
74,42,30,138,22,TIDAK SEHAT
64,28,32,142,16,TIDAK SEHAT
69,27,33,137,25,TIDAK SEHAT
60,19,29,129,29,TIDAK SEHAT
65,21,28,131,19,TIDAK SEHAT
71,29,33,132,24,TIDAK SEHAT
60,20,22,141,6,TIDAK SEHAT
72,22,33,137,27,TIDAK SEHAT
64,27,33,142,16,TIDAK SEHAT
64,33,31,139,18,TIDAK SEHAT
58,39,19,147,4,TIDAK SEHAT
64,31,33,139,18,TIDAK SEHAT
55,15,22,140,6,TIDAK SEHAT
60,25,19,134,10,TIDAK SEHAT
63,19,21,137,7,TIDAK SEHAT
67,27,33,139,21,TIDAK SEHAT
63,12,35,144,18,TIDAK SEHAT
55,27,32,127,22,TIDAK SEHAT
57,17,20,143,8,TIDAK SEHAT
60,29,31,128,22,TIDAK SEHAT
64,16,20,141,7,TIDAK SEHAT
64,32,32,139,18,TIDAK SEHAT
65,35,28,139,19,TIDAK SEHAT
54,13,32,133,18,TIDAK SEHAT
58,33,21,163,5,TIDAK SEHAT
51,14,20,133,10,TIDAK SEHAT
71,21,33,135,25,TIDAK SEHAT
59,21,29,129,27,TIDAK SEHAT
72,27,36,136,26,TIDAK SEHAT
62,21,21,137,6,TIDAK SEHAT
71,25,34,140,31,TIDAK SEHAT
54,13,20,134,8,TIDAK SEHAT
69,29,33,131,24,TIDAK SEHAT
56,16,23,142,5,TIDAK SEHAT
65,35,29,139,19,TIDAK SEHAT
56,16,22,140,6,TIDAK SEHAT
64,2,34,141,19,TIDAK SEHAT
61,19,28,129,28,TIDAK SEHAT
67,34,29,136,21,TIDAK SEHAT
56,19,23,149,5,TIDAK SEHAT
69,20,33,131,19,TIDAK SEHAT
61,6,36,143,19,TIDAK SEHAT
61,22,21,137,6,TIDAK SEHAT
66,41,22,150,9,TIDAK SEHAT
77,50,27,142,21,TIDAK SEHAT
68,30,31,137,23,TIDAK SEHAT
73,23,34,139,29,TIDAK SEHAT
61,19,21,137,6,TIDAK SEHAT
59,21,29,129,27,TIDAK SEHAT
52,26,19,138,5,TIDAK SEHAT
64,30,31,128,22,TIDAK SEHAT
53,13,32,132,18,TIDAK SEHAT
55,29,32,130,20,TIDAK SEHAT
57,29,31,129,21,TIDAK SEHAT
56,17,23,144,5,TIDAK SEHAT
58,17,26,178,6,TIDAK SEHAT
65,29,34,138,20,TIDAK SEHAT
72,24,33,137,28,TIDAK SEHAT
59,21,20,140,7,TIDAK SEHAT
70,22,34,133,22,TIDAK SEHAT
72,23,33,137,28,TIDAK SEHAT
52,13,32,129,19,TIDAK SEHAT
52,13,32,128,20,TIDAK SEHAT
66,29,31,126,22,TIDAK SEHAT
55,29,31,129,21,TIDAK SEHAT
58,36,20,158,4,TIDAK SEHAT
75,45,29,139,22,TIDAK SEHAT
65,25,33,139,17,TIDAK SEHAT
56,16,22,140,6,TIDAK SEHAT
68,38,31,140,18,TIDAK SEHAT
63,19,20,136,7,TIDAK SEHAT
69,33,29,148,15,TIDAK SEHAT
61,23,21,137,6,TIDAK SEHAT
64,16,29,127,18,TIDAK SEHAT
53,13,20,133,9,TIDAK SEHAT
54,13,20,134,8,TIDAK SEHAT
70,25,34,135,24,TIDAK SEHAT
61,22,21,138,6,TIDAK SEHAT
67,12,34,134,19,TIDAK SEHAT
64,31,30,141,17,TIDAK SEHAT
69,40,24,151,11,TIDAK SEHAT
70,27,34,135,25,TIDAK SEHAT
65,33,29,140,18,TIDAK SEHAT
57,29,31,129,21,TIDAK SEHAT
55,28,32,129,21,TIDAK SEHAT
65,16,21,140,6,TIDAK SEHAT
57,16,22,141,6,TIDAK SEHAT
58,15,30,133,18,TIDAK SEHAT
53,13,20,133,9,TIDAK SEHAT
75,25,39,145,28,TIDAK SEHAT
64,3,35,142,19,TIDAK SEHAT
64,25,32,141,16,TIDAK SEHAT
58,19,20,142,8,TIDAK SEHAT
75,45,29,139,22,TIDAK SEHAT
64,12,32,138,18,TIDAK SEHAT
59,26,24,177,6,TIDAK SEHAT
71,28,34,134,25,TIDAK SEHAT
64,30,34,138,18,TIDAK SEHAT
64,30,33,139,17,TIDAK SEHAT
70,28,34,133,25,TIDAK SEHAT
52,23,19,136,6,TIDAK SEHAT
56,26,22,149,4,TIDAK SEHAT
66,16,20,136,7,TIDAK SEHAT
68,27,33,134,25,TIDAK SEHAT
67,35,29,137,21,TIDAK SEHAT
69,27,33,136,25,TIDAK SEHAT
59,16,22,141,6,TIDAK SEHAT
56,14,31,130,18,TIDAK SEHAT
53,13,32,131,18,TIDAK SEHAT
57,34,20,149,4,TIDAK SEHAT
72,24,33,136,28,TIDAK SEHAT
68,44,37,138,14,TIDAK SEHAT
65,18,28,133,18,TIDAK SEHAT
60,15,27,195,7,TIDAK SEHAT
70,23,34,134,23,TIDAK SEHAT
63,19,30,129,27,TIDAK SEHAT
68,19,31,131,19,TIDAK SEHAT
65,7,31,137,18,TIDAK SEHAT
61,19,28,129,27,TIDAK SEHAT
68,28,32,133,24,TIDAK SEHAT
64,19,30,129,26,TIDAK SEHAT
67,34,29,136,21,TIDAK SEHAT
56,16,23,142,5,TIDAK SEHAT
63,18,27,191,9,TIDAK SEHAT
67,19,29,132,18,TIDAK SEHAT
58,17,26,174,6,TIDAK SEHAT
63,8,36,144,19,TIDAK SEHAT
74,48,28,142,20,TIDAK SEHAT
64,23,30,138,16,TIDAK SEHAT
52,17,19,134,7,TIDAK SEHAT
59,18,20,140,8,TIDAK SEHAT
53,13,20,133,9,TIDAK SEHAT
57,29,31,129,21,TIDAK SEHAT
59,25,18,132,12,TIDAK SEHAT
72,23,33,138,29,TIDAK SEHAT
65,19,28,132,19,TIDAK SEHAT
61,30,33,136,18,TIDAK SEHAT
62,41,20,149,6,TIDAK SEHAT
56,15,31,133,18,TIDAK SEHAT
59,30,20,141,5,TIDAK SEHAT
63,28,31,126,23,TIDAK SEHAT
51,14,20,133,10,TIDAK SEHAT
64,29,30,128,23,TIDAK SEHAT
61,19,20,138,7,TIDAK SEHAT
64,26,33,143,16,TIDAK SEHAT
61,19,20,139,7,TIDAK SEHAT
60,19,20,140,7,TIDAK SEHAT
71,28,33,132,25,TIDAK SEHAT
69,48,45,137,10,TIDAK SEHAT
64,19,28,131,21,TIDAK SEHAT
56,16,22,140,6,TIDAK SEHAT
56,16,22,141,6,TIDAK SEHAT
56,30,33,128,21,TIDAK SEHAT
75,43,27,150,16,TIDAK SEHAT
60,29,31,128,22,TIDAK SEHAT
74,23,35,141,29,TIDAK SEHAT
59,25,18,132,12,TIDAK SEHAT
54,14,30,130,17,TIDAK SEHAT
69,17,34,132,19,TIDAK SEHAT
65,16,21,140,7,TIDAK SEHAT
64,21,19,133,7,TIDAK SEHAT
67,9,34,136,19,TIDAK SEHAT
51,23,19,136,5,TIDAK SEHAT
64,28,33,141,16,TIDAK SEHAT
67,31,36,143,29,TIDAK SEHAT
66,44,43,130,14,TIDAK SEHAT
61,17,29,133,18,TIDAK SEHAT
54,14,31,133,18,TIDAK SEHAT
63,31,33,126,22,TIDAK SEHAT
66,19,23,130,13,TIDAK SEHAT
64,30,31,131,21,TIDAK SEHAT
75,24,37,143,29,TIDAK SEHAT
64,28,33,141,16,TIDAK SEHAT
66,27,33,140,20,TIDAK SEHAT
64,19,20,134,7,TIDAK SEHAT
56,16,22,140,6,TIDAK SEHAT
57,18,25,164,5,TIDAK SEHAT
60,24,20,138,5,TIDAK SEHAT
65,24,29,130,20,TIDAK SEHAT
73,23,34,139,29,TIDAK SEHAT
68,29,32,130,24,TIDAK SEHAT
63,19,21,137,7,TIDAK SEHAT
67,28,32,132,24,TIDAK SEHAT
66,36,28,138,20,TIDAK SEHAT
65,17,28,134,18,TIDAK SEHAT
65,19,19,132,7,TIDAK SEHAT
57,9,32,135,18,TIDAK SEHAT
67,28,32,133,24,TIDAK SEHAT
55,14,21,137,7,TIDAK SEHAT
64,30,33,136,18,TIDAK SEHAT
55,29,32,128,21,TIDAK SEHAT
64,31,33,139,18,TIDAK SEHAT
55,15,22,139,6,TIDAK SEHAT
56,20,23,148,5,TIDAK SEHAT
69,31,32,134,23,TIDAK SEHAT
53,13,32,131,18,TIDAK SEHAT
54,15,27,127,15,TIDAK SEHAT
52,13,32,129,19,TIDAK SEHAT
56,17,20,143,8,TIDAK SEHAT
52,23,19,136,6,TIDAK SEHAT
55,29,31,129,21,TIDAK SEHAT
73,27,39,146,31,TIDAK SEHAT
51,20,19,135,6,TIDAK SEHAT
64,32,32,139,18,TIDAK SEHAT
64,2,34,141,19,TIDAK SEHAT
63,17,28,133,18,TIDAK SEHAT
61,17,29,133,18,TIDAK SEHAT
66,19,28,132,18,TIDAK SEHAT
65,20,28,134,17,TIDAK SEHAT
75,24,37,143,29,TIDAK SEHAT
52,27,19,138,5,TIDAK SEHAT
61,23,21,138,6,TIDAK SEHAT
70,26,34,136,25,TIDAK SEHAT
56,29,31,129,21,TIDAK SEHAT
70,22,34,131,21,TIDAK SEHAT
63,4,36,144,19,TIDAK SEHAT
70,26,34,131,23,TIDAK SEHAT
74,39,27,152,15,TIDAK SEHAT
68,28,34,137,23,TIDAK SEHAT
62,19,20,137,7,TIDAK SEHAT
71,27,33,133,26,TIDAK SEHAT
67,26,27,177,11,TIDAK SEHAT
70,21,34,131,20,TIDAK SEHAT
66,30,34,136,20,TIDAK SEHAT
64,30,33,136,19,TIDAK SEHAT
69,30,36,140,31,TIDAK SEHAT
76,48,28,141,21,TIDAK SEHAT
55,27,31,129,22,TIDAK SEHAT
69,27,33,135,25,TIDAK SEHAT
51,13,32,127,20,TIDAK SEHAT
52,13,32,129,19,TIDAK SEHAT
59,25,18,133,11,TIDAK SEHAT
69,27,34,137,26,TIDAK SEHAT
65,30,34,137,19,TIDAK SEHAT
58,16,22,141,6,TIDAK SEHAT
67,19,22,129,12,TIDAK SEHAT
64,18,28,133,18,TIDAK SEHAT
63,4,36,143,19,TIDAK SEHAT
64,17,21,139,7,TIDAK SEHAT
57,21,22,145,5,TIDAK SEHAT
64,12,31,138,18,TIDAK SEHAT
71,21,33,135,25,TIDAK SEHAT
67,27,33,139,21,TIDAK SEHAT
61,29,31,128,22,TIDAK SEHAT
65,34,29,135,21,TIDAK SEHAT
68,29,32,137,24,TIDAK SEHAT
65,16,21,140,7,TIDAK SEHAT
64,25,32,141,16,TIDAK SEHAT
53,13,32,131,18,TIDAK SEHAT
65,34,30,139,19,TIDAK SEHAT
64,28,32,142,16,TIDAK SEHAT
64,19,28,131,21,TIDAK SEHAT
63,20,21,139,6,TIDAK SEHAT
75,53,35,141,15,TIDAK SEHAT
57,18,22,140,6,TIDAK SEHAT
68,31,37,144,32,TIDAK SEHAT
61,16,21,141,6,TIDAK SEHAT
61,29,31,128,22,TIDAK SEHAT
56,19,23,149,5,TIDAK SEHAT
58,23,30,129,25,TIDAK SEHAT
70,24,34,134,23,TIDAK SEHAT
66,40,23,151,9,TIDAK SEHAT
73,26,37,141,27,TIDAK SEHAT
75,44,27,150,16,TIDAK SEHAT
75,49,28,143,20,TIDAK SEHAT
58,32,35,125,21,TIDAK SEHAT
58,29,32,133,19,TIDAK SEHAT
65,18,28,133,18,TIDAK SEHAT
65,26,34,143,17,TIDAK SEHAT
68,27,33,134,25,TIDAK SEHAT
56,18,23,146,5,TIDAK SEHAT
51,14,20,133,10,TIDAK SEHAT
56,16,22,140,6,TIDAK SEHAT
69,27,34,137,25,TIDAK SEHAT
62,17,29,133,18,TIDAK SEHAT
57,21,22,145,5,TIDAK SEHAT
56,39,19,147,4,TIDAK SEHAT
61,22,21,137,6,TIDAK SEHAT
65,36,28,139,19,TIDAK SEHAT
71,26,34,141,31,TIDAK SEHAT
62,21,21,138,6,TIDAK SEHAT
72,26,36,141,27,TIDAK SEHAT
67,29,34,135,21,TIDAK SEHAT
